
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-08 08:44:24 / .......................................... ~ 500.57ms
  2026-05-08 08:45:43 /pesquisa .................................. ~ 501.06ms
  2026-05-08 08:45:47 /publicacoes ............................... ~ 501.02ms
  2026-05-08 08:47:27 /pesquisa .................................... ~ 0.26ms
  2026-05-08 08:47:28 /publicacoes ............................... ~ 500.46ms
  2026-05-08 08:47:30 /ano ....................................... ~ 500.71ms
  2026-05-08 08:47:33 /estatisticas/quantitativo/qualis ............ ~ 0.25ms
  2026-05-08 08:50:47 /pesquisa .................................... ~ 0.22ms
  2026-05-08 08:50:48 /publicacoes ................................. ~ 0.19ms
  2026-05-08 08:50:50 /estatisticas/graficos/ano ................... ~ 0.19ms
  2026-05-08 08:50:51 /estatisticas/graficos/ano ................... ~ 0.18ms
  2026-05-08 08:50:54 /estatisticas/quantitativo/qualis ............ ~ 0.19ms
  Failed to listen on 127.0.0.1:8001 (reason: Address already in use)
